Product Line,Product Category,Date,Net Total Revenue,Net Product Revenue,Net Shipping Revenue,Cost of Goods Sold,Shipping Cost,Paid Order Count
postcard pack,cards,2018-07-23,$19,$15,$4,$6,$2,1
baby book refill pack,books,2018-07-23,$19,$15,$4,$5,$4,1
enclosure cards,cards,2018-07-23,$11,$10,$1,$3,$1,1
wedding sample kit,cards,2018-07-23,$9,$8,$2,$6,$1,1
dust jacket refill,books,2018-07-23,$4,$0,$4,$14,$61,1
layflat photo albums,books,2018-07-24,"$4,318","$3,964",$354,"$1,627",$326,25
hardcover photo books,books,2018-07-24,"$4,034","$3,457",$577,"$1,070",$516,58
wedding guest books,books,2018-07-24,"$3,029","$2,602",$426,"$1,359",$328,29
everyday print set,prints,2018-07-24,"$1,837","$1,320",$517,$501,$308,105
softcover photo books,books,2018-07-24,"$1,824","$1,343",$482,$585,$322,65
baby book,books,2018-07-24,$815,$720,$95,$343,$105,13
gallery frames,frames,2018-07-24,$791,$683,$108,$293,$71,8
thank you cards,cards,2018-07-24,$695,$617,$78,$143,$69,13
large format prints,prints,2018-07-24,$487,$401,$86,$124,$103,17
design your own cards,cards,2018-07-24,$365,$329,$36,$123,$33,7
signature prints,prints,2018-07-24,$343,$311,$32,$135,$39,6
volumes subscription series,books,2018-07-24,$293,$293,$0,$117,$35,15
brass easel calendars,calendars,2018-07-24,$249,$188,$60,$75,$37,7
birth announcements,cards,2018-07-24,$227,$209,$17,$38,$19,4
save the dates,cards,2018-07-24,$222,$209,$13,$54,$12,2
modern metal frames,frames,2018-07-24,$142,$119,$23,$49,$17,3
float frames,frames,2018-07-24,$133,$116,$16,$49,$14,1
wood block and prints,photo holders,2018-07-24,$123,$84,$39,$27,$37,7
wood calendars,calendars,2018-07-24,$121,$75,$46,$23,$28,6
deep set frames,frames,2018-07-24,$69,$50,$19,$21,$18,1
brass & wood display box,photo holders,2018-07-24,$65,$55,$9,$24,$9,2
wooden box,photo holders,2018-07-24,$54,$48,$6,$16,$4,1
wooden photo ledge,photo holders,2018-07-24,$41,$35,$6,$22,$16,1
metal tabletop frames,frames,2018-07-24,$34,$27,$7,$12,$5,1
calendar refills,calendars,2018-07-24,$26,$15,$11,$4,$7,2
cork and brass,photo holders,2018-07-24,$22,$19,$3,$8,$2,1
walnut print block,photo holders,2018-07-24,$21,$18,$3,$6,$2,1
enclosure cards,cards,2018-07-24,$19,$15,$4,$3,$2,1
wood block refill packs,photo holders,2018-07-24,$11,$7,$4,$2,$2,1
brass easel + prints,photo holders,2018-07-24,$0,$0,$0,$11,$13,0
accessory products only,calendars,2018-07-24,$0,$0,$0,$13,$4,0
layflat photo albums,books,2018-07-25,"$4,249","$3,853",$395,"$1,791",$439,26
hardcover photo books,books,2018-07-25,"$3,651","$3,148",$503,"$1,001",$425,60
everyday print set,prints,2018-07-25,"$2,035","$1,431",$604,$575,$479,123
wedding guest books,books,2018-07-25,"$1,936","$1,656",$280,$944,$214,20
softcover photo books,books,2018-07-25,"$1,498","$1,118",$380,$536,$237,46
baby book,books,2018-07-25,$997,$861,$136,$434,$207,15
large format prints,prints,2018-07-25,$930,$764,$166,$248,$207,27
design your own cards,cards,2018-07-25,$707,$625,$82,$182,$69,7
gallery frames,frames,2018-07-25,$692,$573,$119,$251,$157,10
thank you cards,cards,2018-07-25,$454,$418,$36,$142,$46,8
metal tabletop frames,frames,2018-07-25,$313,$271,$42,$121,$35,5
save the dates,cards,2018-07-25,$210,$182,$28,$45,$12,2
brass easel calendars,calendars,2018-07-25,$204,$167,$36,$65,$25,6
modern metal frames,frames,2018-07-25,$144,$124,$20,$49,$20,3
signature prints,prints,2018-07-25,$137,$102,$34,$43,$32,5
brass & wood display box,photo holders,2018-07-25,$127,$118,$9,$51,$8,1
wooden tabletop frames,frames,2018-07-25,$124,$105,$18,$46,$16,3
volumes subscription series,books,2018-07-25,$122,$122,$0,$69,$19,5
wooden hanger,photo holders,2018-07-25,$105,$94,$11,$44,$10,2
birth announcements,cards,2018-07-25,$85,$72,$13,$13,$10,2
wooden photo ledge,photo holders,2018-07-25,$69,$59,$10,$17,$12,2
wood calendars,calendars,2018-07-25,$69,$50,$19,$19,$16,4
postcard pack,cards,2018-07-25,$69,$60,$8,$23,$29,2
baby book refill pack,books,2018-07-25,$66,$53,$13,$20,$19,5
brass easel + prints,photo holders,2018-07-25,$65,$55,$10,$22,$8,2
wood block and prints,photo holders,2018-07-25,$56,$40,$16,$12,$8,4
deep set frames,frames,2018-07-25,$55,$50,$6,$21,$7,1
walnut print block,photo holders,2018-07-25,$51,$39,$12,$11,$10,3
calendar refills,calendars,2018-07-25,$9,$8,$1,$2,$1,1
wedding sample kit,cards,2018-07-25,$8,$0,$8,$6,$6,0
dust jacket refill,books,2018-07-25,$1,$1,$0,$3,$4,1
matted print refills for frames,frames,2018-07-25,$0,$0,$0,$7,$19,0
layflat photo albums,books,2018-07-26,"$5,208","$4,800",$408,"$5,046","$1,253",33
hardcover photo books,books,2018-07-26,"$4,527","$3,844",$682,"$1,208",$578,68
wedding guest books,books,2018-07-26,"$1,971","$1,567",$403,"$1,181",$274,21
everyday print set,prints,2018-07-26,"$1,642","$1,177",$465,$464,$295,101
softcover photo books,books,2018-07-26,"$1,377","$1,078",$299,$415,$164,46
large format prints,prints,2018-07-26,$960,$808,$152,$228,$147,23
baby book,books,2018-07-26,$790,$690,$99,$343,$133,12
modern metal frames,frames,2018-07-26,$522,$475,$47,$192,$39,6
design your own cards,cards,2018-07-26,$453,$374,$78,$130,$45,5
volumes subscription series,books,2018-07-26,$360,$342,$18,$142,$54,16
thank you cards,cards,2018-07-26,$357,$311,$45,$121,$60,7
wood block and prints,photo holders,2018-07-26,$317,$251,$66,$80,$43,9
gallery frames,frames,2018-07-26,$259,$223,$36,$100,$25,4
save the dates,cards,2018-07-26,$181,$172,$9,$51,$6,1
birth announcements,cards,2018-07-26,$178,$145,$32,$27,$21,5
wooden tabletop frames,frames,2018-07-26,$158,$138,$20,$63,$11,2
postcard pack,cards,2018-07-26,$138,$119,$19,$46,$9,3
wood calendars,calendars,2018-07-26,$127,$100,$26,$31,$14,6
brass easel calendars,calendars,2018-07-26,$122,$105,$17,$43,$13,3
wooden hanger,photo holders,2018-07-26,$98,$89,$9,$38,$5,1
brass & wood display box,photo holders,2018-07-26,$98,$85,$12,$62,$14,2
signature prints,prints,2018-07-26,$96,$74,$22,$30,$14,5
metal tabletop frames,frames,2018-07-26,$74,$64,$9,$26,$9,2
wooden photo ledge,photo holders,2018-07-26,$67,$58,$9,$22,$5,1
brass easel + prints,photo holders,2018-07-26,$34,$28,$6,$11,$4,1
baby book refill pack,books,2018-07-26,$29,$23,$7,$7,$7,2
wood block refill packs,photo holders,2018-07-26,$26,$15,$11,$4,$14,2
walnut print block,photo holders,2018-07-26,$14,$9,$5,$3,$4,1
dust jacket refill,books,2018-07-26,$12,$8,$4,$3,$3,1
calendar refills,calendars,2018-07-26,$12,$8,$4,$2,$2,1
layflat photo albums,books,2018-07-27,"$3,064","$2,804",$259,"$1,188",$237,22
hardcover photo books,books,2018-07-27,"$2,771","$2,364",$407,$712,$302,41
softcover photo books,books,2018-07-27,"$1,503","$1,195",$308,$440,$215,50
everyday print set,prints,2018-07-27,"$1,110",$782,$327,$317,$195,67
baby book,books,2018-07-27,$791,$684,$107,$297,$105,13
wedding guest books,books,2018-07-27,$782,$578,$203,$627,$162,10
thank you cards,cards,2018-07-27,$620,$540,$79,$134,$65,11
large format prints,prints,2018-07-27,$552,$478,$74,$130,$67,14
volumes subscription series,books,2018-07-27,$379,$379,$0,$152,$36,17
gallery frames,frames,2018-07-27,$292,$242,$50,$288,$95,5
save the dates,cards,2018-07-27,$194,$164,$30,$37,$28,3
brass easel calendars,calendars,2018-07-27,$185,$149,$35,$54,$17,3
signature prints,prints,2018-07-27,$174,$135,$39,$61,$37,7
wood block and prints,photo holders,2018-07-27,$147,$106,$41,$33,$21,10
birth announcements,cards,2018-07-27,$138,$123,$14,$28,$14,3
design your own cards,cards,2018-07-27,$128,$114,$14,$34,$16,3
cork and brass,photo holders,2018-07-27,$102,$80,$22,$41,$15,5
wood calendars,calendars,2018-07-27,$101,$63,$38,$19,$28,5
wooden photo ledge,photo holders,2018-07-27,$90,$76,$14,$19,$8,3
modern metal frames,frames,2018-07-27,$89,$69,$19,$29,$23,2
float frames,frames,2018-07-27,$84,$71,$13,$38,$12,2
metal tabletop frames,frames,2018-07-27,$83,$69,$14,$27,$10,2
postcard pack,cards,2018-07-27,$65,$54,$10,$23,$6,2
wooden hanger,photo holders,2018-07-27,$49,$44,$5,$49,$42,1
walnut print block,photo holders,2018-07-27,$39,$32,$7,$10,$4,3
brass & wood display box,photo holders,2018-07-27,$31,$27,$3,$13,$3,1
baby book refill pack,books,2018-07-27,$23,$15,$8,$5,$6,2
solidwool calendars,calendars,2018-07-27,$21,$18,$2,$9,$2,1
dust jacket refill,books,2018-07-27,$12,$8,$4,$3,$4,1
calendar refills,calendars,2018-07-27,$10,$8,$2,$2,$1,1
layflat photo albums,books,2018-07-28,"$3,868","$3,492",$376,"$1,302",$297,23
hardcover photo books,books,2018-07-28,"$2,221","$1,880",$340,$560,$337,34
everyday print set,prints,2018-07-28,"$1,413","$1,018",$395,$386,$270,78
wedding guest books,books,2018-07-28,"$1,047",$873,$174,$605,$142,13
softcover photo books,books,2018-07-28,$662,$485,$177,$183,$102,31
thank you cards,cards,2018-07-28,$436,$365,$70,$91,$57,10
large format prints,prints,2018-07-28,$351,$283,$68,$75,$62,15
volumes subscription series,books,2018-07-28,$305,$269,$36,$118,$47,12
baby book,books,2018-07-28,$262,$228,$34,$91,$26,4
save the dates,cards,2018-07-28,$222,$213,$9,$62,$9,1
float frames,frames,2018-07-28,$220,$194,$27,$74,$18,3
gallery frames,frames,2018-07-28,$187,$152,$35,$67,$35,3
birth announcements,cards,2018-07-28,$176,$152,$24,$30,$23,3
wood block and prints,photo holders,2018-07-28,$150,$104,$47,$30,$28,10
brass easel calendars,calendars,2018-07-28,$114,$83,$31,$32,$18,3
metal tabletop frames,frames,2018-07-28,$113,$104,$9,$41,$8,1
wooden photo ledge,photo holders,2018-07-28,$104,$94,$10,$29,$13,2
design your own cards,cards,2018-07-28,$89,$72,$17,$20,$19,4
modern metal frames,frames,2018-07-28,$49,$40,$9,$14,$5,1
wooden box,photo holders,2018-07-28,$42,$36,$6,$15,$4,1
wooden tabletop frames,frames,2018-07-28,$42,$35,$7,$16,$7,1
brass & wood display box,photo holders,2018-07-28,$41,$30,$10,$13,$19,1
brass easel + prints,photo holders,2018-07-28,$31,$28,$3,$11,$2,1
walnut print block,photo holders,2018-07-28,$26,$18,$8,$6,$8,2
signature prints,prints,2018-07-28,$19,$15,$4,$6,$2,1
postcard pack,cards,2018-07-28,$19,$15,$4,$6,$2,1
cork and brass,photo holders,2018-07-28,$17,$15,$2,$8,$1,1
wood calendars,calendars,2018-07-28,$17,$13,$4,$4,$2,1
calendar refills,calendars,2018-07-28,$12,$8,$4,$2,$1,1
wood block refill packs,photo holders,2018-07-28,$11,$8,$4,$2,$5,1
layflat photo albums,books,2018-07-29,"$4,848","$4,411",$436,"$1,620",$341,33
hardcover photo books,books,2018-07-29,"$4,033","$3,488",$545,"$1,157",$539,55
wedding guest books,books,2018-07-29,"$2,242","$1,927",$315,$969,$212,25
everyday print set,prints,2018-07-29,"$2,164","$1,583",$581,$564,$378,127
softcover photo books,books,2018-07-29,"$1,679","$1,290",$389,$541,$246,57
thank you cards,cards,2018-07-29,"$1,112","$1,021",$91,$287,$87,17
gallery frames,frames,2018-07-29,$864,$729,$134,$455,$295,9
large format prints,prints,2018-07-29,$754,$623,$130,$166,$113,25
modern metal frames,frames,2018-07-29,$445,$399,$46,$172,$29,5
baby book,books,2018-07-29,$353,$312,$40,$160,$66,6
volumes subscription series,books,2018-07-29,$318,$318,$0,$127,$23,15
brass easel calendars,calendars,2018-07-29,$175,$127,$48,$54,$34,4
wood block refill packs,photo holders,2018-07-29,$167,$140,$27,$37,$10,3
wood block and prints,photo holders,2018-07-29,$162,$132,$30,$42,$21,8
signature prints,prints,2018-07-29,$152,$129,$22,$55,$17,4
wooden tabletop frames,frames,2018-07-29,$125,$104,$21,$47,$17,3
metal tabletop frames,frames,2018-07-29,$119,$91,$29,$38,$28,3
design your own cards,cards,2018-07-29,$112,$83,$29,$49,$39,1
float frames,frames,2018-07-29,$84,$65,$19,$25,$18,1
brass & wood display box,photo holders,2018-07-29,$68,$60,$8,$39,$17,2
wood calendars,calendars,2018-07-29,$65,$49,$16,$15,$8,4
birth announcements,cards,2018-07-29,$63,$45,$18,$8,$18,1
brass easel + prints,photo holders,2018-07-29,$62,$55,$6,$22,$4,1
wooden box,photo holders,2018-07-29,$54,$48,$6,$16,$7,1
walnut print block,photo holders,2018-07-29,$50,$39,$11,$11,$7,3
wooden hanger,photo holders,2018-07-29,$49,$45,$4,$19,$6,1
calendar refills,calendars,2018-07-29,$33,$23,$10,$6,$4,3
wood cleat,photo holders,2018-07-29,$26,$21,$5,$25,$6,2
wooden photo ledge,photo holders,2018-07-29,$25,$22,$3,$5,$2,1
baby book refill pack,books,2018-07-29,$19,$15,$4,$5,$5,2
wedding sample kit,cards,2018-07-29,$2,$0,$2,$3,$2,1
dust jacket refill,books,2018-07-29,$0,$0,$0,$3,$6,0
layflat photo albums,books,2018-07-30,"$7,471","$6,902",$569,"$2,843",$605,41
hardcover photo books,books,2018-07-30,"$5,343","$4,609",$734,"$1,404",$669,69
wedding guest books,books,2018-07-30,"$2,669","$2,240",$428,"$1,504",$385,26
everyday print set,prints,2018-07-30,"$2,191","$1,484",$706,$586,$502,135
softcover photo books,books,2018-07-30,"$1,938","$1,610",$327,$859,$203,48
gallery frames,frames,2018-07-30,"$1,873","$1,660",$212,$717,$173,12
volumes subscription series,books,2018-07-30,$875,$857,$18,$373,$77,33
thank you cards,cards,2018-07-30,$739,$654,$85,$188,$82,18
large format prints,prints,2018-07-30,$662,$537,$125,$164,$115,18
baby book,books,2018-07-30,$541,$483,$58,$206,$51,8
metal tabletop frames,frames,2018-07-30,$511,$412,$98,$186,$88,10
save the dates,cards,2018-07-30,$395,$360,$34,$114,$39,4
birth announcements,cards,2018-07-30,$305,$282,$23,$65,$17,4
signature prints,prints,2018-07-30,$280,$210,$70,$85,$46,9
modern metal frames,frames,2018-07-30,$253,$222,$31,$106,$23,4
wood block and prints,photo holders,2018-07-30,$211,$142,$69,$45,$39,14
wooden photo ledge,photo holders,2018-07-30,$165,$143,$22,$50,$28,3
holiday cards,cards,2018-07-30,$162,$128,$33,$29,$24,1
design your own cards,cards,2018-07-30,$158,$143,$15,$39,$17,4
brass & wood display box,photo holders,2018-07-30,$153,$130,$23,$62,$35,5
wooden tabletop frames,frames,2018-07-30,$142,$121,$21,$61,$25,4
wood calendars,calendars,2018-07-30,$111,$73,$38,$23,$25,6
walnut print block,photo holders,2018-07-30,$99,$77,$21,$23,$21,6
wedding invitations,cards,2018-07-30,$83,$73,$9,$16,$5,1
wedding guest book set,books,2018-07-30,$81,$63,$18,$32,$13,1
float frames,frames,2018-07-30,$78,$64,$14,$49,$10,2
deep set frames,frames,2018-07-30,$59,$50,$9,$20,$5,1
wooden hanger,photo holders,2018-07-30,$56,$49,$6,$25,$5,1
baby book refill pack,books,2018-07-30,$49,$43,$6,$15,$10,5
brass easel calendars,calendars,2018-07-30,$43,$28,$15,$11,$8,1
cork and brass,photo holders,2018-07-30,$32,$21,$11,$8,$9,1
calendar refills,calendars,2018-07-30,$26,$15,$11,$4,$8,2
wood cleat,photo holders,2018-07-30,$23,$18,$5,$12,$5,1
dust jacket refill,books,2018-07-30,$16,$8,$8,$12,$15,2
wood block refill packs,photo holders,2018-07-30,$12,$8,$4,$2,$2,1
hardcover photo books,books,2018-07-31,"$5,178","$4,427",$751,"$1,369",$654,73
layflat photo albums,books,2018-07-31,"$4,902","$4,424",$478,"$1,718",$373,35
everyday print set,prints,2018-07-31,"$2,360","$1,693",$667,$648,$441,127
wedding guest books,books,2018-07-31,"$2,218","$1,892",$326,"$1,155",$232,23
softcover photo books,books,2018-07-31,"$1,343",$976,$366,$418,$210,57
baby book,books,2018-07-31,"$1,101",$981,$120,$425,$112,16
thank you cards,cards,2018-07-31,$780,$694,$85,$173,$106,16
large format prints,prints,2018-07-31,$655,$526,$128,$161,$106,22
design your own cards,cards,2018-07-31,$495,$451,$44,$214,$40,9
volumes subscription series,books,2018-07-31,$477,$477,$0,$184,$38,19
modern metal frames,frames,2018-07-31,$337,$302,$35,$121,$22,3
gallery frames,frames,2018-07-31,$317,$266,$51,$119,$31,6
float frames,frames,2018-07-31,$210,$194,$16,$74,$18,1
brass & wood display box,photo holders,2018-07-31,$204,$167,$37,$73,$30,5
wooden photo ledge,photo holders,2018-07-31,$194,$171,$23,$50,$20,4
wood block and prints,photo holders,2018-07-31,$188,$140,$48,$42,$27,9
wedding guest book set,books,2018-07-31,$170,$154,$16,$96,$16,3
signature prints,prints,2018-07-31,$163,$119,$44,$52,$49,5
save the dates,cards,2018-07-31,$141,$135,$6,$40,$7,1
brass easel calendars,calendars,2018-07-31,$136,$110,$26,$43,$16,4
wood calendars,calendars,2018-07-31,$93,$63,$30,$19,$19,5
postcard pack,cards,2018-07-31,$55,$45,$10,$17,$8,2
wooden box,photo holders,2018-07-31,$49,$43,$6,$16,$7,1
deep set frames,frames,2018-07-31,$49,$40,$9,$16,$5,1
metal tabletop frames,frames,2018-07-31,$42,$30,$12,$12,$9,1
walnut print block,photo holders,2018-07-31,$40,$33,$7,$10,$4,3
wooden hanger,photo holders,2018-07-31,$40,$35,$5,$41,$21,1
baby book refill pack,books,2018-07-31,$31,$29,$3,$9,$2,3
cork and brass,photo holders,2018-07-31,$26,$21,$5,$8,$2,1
solidwool calendars,calendars,2018-07-31,$25,$20,$5,$9,$2,1
calendar refills,calendars,2018-07-31,$23,$15,$8,$4,$3,2
wedding sample kit,cards,2018-07-31,$16,$8,$8,$6,$6,1
wood block refill packs,photo holders,2018-07-31,$12,$8,$4,$2,$2,1
dust jacket refill,books,2018-07-31,$12,$8,$4,$3,$3,1
wooden tabletop frames,frames,2018-07-31,$7,$0,$7,$16,$5,0
wood cleat refill,photo holders,2018-07-31,$0,$0,$0,$6,$12,0
layflat photo albums,books,2018-08-01,"$6,275","$5,761",$514,"$2,608",$593,42
hardcover photo books,books,2018-08-01,"$4,594","$4,021",$573,"$1,066",$530,59
everyday print set,prints,2018-08-01,"$2,169","$1,559",$610,$587,$401,133
softcover photo books,books,2018-08-01,"$1,639","$1,289",$350,$544,$210,63
wedding guest books,books,2018-08-01,"$1,584","$1,331",$253,$879,$205,16
float frames,frames,2018-08-01,$981,$859,$122,$360,$83,5
thank you cards,cards,2018-08-01,$601,$525,$76,$142,$76,18
deep set frames,frames,2018-08-01,$588,$529,$59,$264,$31,1
large format prints,prints,2018-08-01,$553,$439,$115,$190,$150,17
baby book,books,2018-08-01,$547,$474,$72,$157,$55,8
wedding guest book set,books,2018-08-01,$485,$420,$65,$192,$72,6
modern metal frames,frames,2018-08-01,$448,$393,$55,$219,$44,5
gallery frames,frames,2018-08-01,$418,$356,$61,$184,$56,5
design your own cards,cards,2018-08-01,$329,$295,$34,$116,$48,7
metal tabletop frames,frames,2018-08-01,$273,$227,$46,$91,$38,5
brass easel calendars,calendars,2018-08-01,$202,$163,$38,$65,$26,4
wood calendars,calendars,2018-08-01,$196,$143,$53,$54,$30,11
signature prints,prints,2018-08-01,$195,$149,$46,$53,$35,8
wooden photo ledge,photo holders,2018-08-01,$193,$166,$27,$48,$38,4
volumes subscription series,books,2018-08-01,$179,$171,$8,$59,$16,8
birth announcements,cards,2018-08-01,$152,$138,$14,$24,$10,2
wood block and prints,photo holders,2018-08-01,$141,$106,$34,$33,$21,7
wedding invitations,cards,2018-08-01,$132,$120,$12,$37,$5,1
rsvp cards,cards,2018-08-01,$127,$116,$10,$31,$5,1
wooden tabletop frames,frames,2018-08-01,$113,$88,$24,$46,$30,2
calendar refills,calendars,2018-08-01,$81,$56,$25,$16,$12,6
brass & wood display box,photo holders,2018-08-01,$66,$57,$9,$26,$10,2
wooden hanger,photo holders,2018-08-01,$54,$45,$9,$19,$5,1
baby book refill pack,books,2018-08-01,$52,$30,$21,$9,$13,1
walnut print block,photo holders,2018-08-01,$48,$36,$12,$12,$8,3
brass easel + prints,photo holders,2018-08-01,$48,$28,$20,$11,$13,1
postcard pack,cards,2018-08-01,$38,$30,$8,$35,$8,2
wooden box,photo holders,2018-08-01,$36,$33,$4,$9,$4,1
wood cleat,photo holders,2018-08-01,$25,$20,$5,$11,$4,1
save the dates,cards,2018-08-01,$25,$13,$11,$3,$8,1
dust jacket refill,books,2018-08-01,$8,$6,$1,$5,$5,1
accessory products only,calendars,2018-08-01,$0,$0,$0,$8,$5,0
layflat photo albums,books,2018-08-02,"$8,177","$7,506",$670,"$2,964",$700,50
hardcover photo books,books,2018-08-02,"$2,900","$2,434",$466,$709,$552,45
everyday print set,prints,2018-08-02,"$2,318","$1,608",$710,$610,$487,138
softcover photo books,books,2018-08-02,"$1,969","$1,516",$453,$610,$317,57
